Part,Weight,Quantity on bot,Quantity to buy/print,Total Weight,Cost,Material,Shipping,Total Cost With Spares,Provider,Link,Normal config,Wedge Config,Description,Subsystem
COMMON PARTS (BOTH CONFIGS),,,,,,,,,,,FALSE,FALSE,,
Armor,31.5,2,3,63,,UHMW,,0,Amazon,,TRUE,FALSE,,Armor
Uprights,41.25,2,3,82.5,,UHMW,,0,Amazon,,TRUE,TRUE,,Chassis
Weapon stack hardware,57,1,,57,,,,,,,TRUE,TRUE,,
Bottom lid,62,1,1,62,$19.95,G10,,$19.95,Amazon,https://www.amazon.com/Glass-Fiber-Sheet-335X300X4-0MM-Model/dp/B09QJYGCGV/ref=sr_1_1?crid=5FO45O30J5QM&dib=eyJ2IjoiMSJ9.Z0QY4NCv7llkntC3VPn6z8DwNuBUjTg63VxJ2YLtYiA6X-PFBOxzupkvfUVzw5yQqGm67CAHREqLguSqHp1HTvfwV5gDeM4n30WHm7qIA8LmbJhI6oWriMsHonH_pQb4TRom9OFQvMwaOaOWhO_U8HT-yxj1w7fG5VV5SoH4I94Hi8xv3h3siLqo8HAXmK_cU--XSn0JfBvxgbgUdDN8_-1EktVpbH8DzYWIhC985bE.3btNBH8vqdWCeB9a752Vxyetz6X_tjHp1jy0ZuQPq-A&dib_tag=se&keywords=g10%2Bsheet&qid=1786394157&sprefix=g10%2Bshee%2Caps%2C210&sr=8-1&th=1,TRUE,TRUE,,Chassis
Top Lid,43,1,1,43,$15.95,G10,,$15.95,Amazon,https://www.amazon.com/cncarbonfiber-Fiberglass-Composite-inches-Models/dp/B09QJYR4CV/ref=sr_1_2?crid=5FO45O30J5QM&dib=eyJ2IjoiMSJ9.Z0QY4NCv7llkntC3VPn6z8DwNuBUjTg63VxJ2YLtYiA6X-PFBOxzupkvfUVzw5yQqGm67CAHREqLguSqHp1HTvfwV5gDeM4n30WHm7qIA8LmbJhI6oWriMsHonH_pQb4TRom9OFQvMwaOaOWhO_U8HT-yxj1w7fG5VV5SoH4I94Hi8xv3h3siLqo8HAXmK_cU--XSn0JfBvxgbgUdDN8_-1EktVpbH8DzYWIhC985bE.3btNBH8vqdWCeB9a752Vxyetz6X_tjHp1jy0ZuQPq-A&dib_tag=se&keywords=g10%2Bsheet&qid=1786394157&sprefix=g10%2Bshee%2Caps%2C210&sr=8-2&th=1,TRUE,TRUE,,Chassis
Side rails,22.2,2,3,44.4,,UHMW,,0,Amazon,,TRUE,TRUE,UHMW side rails,Chassis
Drive Motor,64.5,2,2,129,$55.00,aluminium/steel,,$110,Repeat Robotics,https://repeat-robotics.com/products/repeat-drive-pro?variant=52037199364277,TRUE,TRUE,,Drive
Front Wheels,21,2,3,42,$0,Vytaflex/TPU,,0,3D printed,,TRUE,TRUE,,Drive
Back Wheels,21,2,3,42,$0,Vytaflex/TPU,,0,3D printed,,TRUE,TRUE,,Drive
